dispatching_base_number,date,active_vehicles,trips,day,month,year,weekday,week,trips_per_vehicle
B02682,2015-01-27,600,4414,27,1,2015,1,5,7.3566666666666665
B02765,2015-01-27,135,921,27,1,2015,1,5,6.822222222222222
B02617,2015-01-27,596,4325,27,1,2015,1,5,7.256711409395973
B02598,2015-01-27,434,2957,27,1,2015,1,5,6.813364055299539
B02512,2015-01-27,112,629,27,1,2015,1,5,5.616071428571429
B02764,2015-01-27,1619,11998,27,1,2015,1,5,7.410747374922792
B02764,2015-01-28,3692,28137,28,1,2015,2,5,7.6210725893824485
B02682,2015-01-28,1235,10025,28,1,2015,2,5,8.117408906882591
B02765,2015-01-28,286,1913,28,1,2015,2,5,6.688811188811189
B02617,2015-01-28,1356,10862,28,1,2015,2,5,8.010324483775811
B02598,2015-01-28,1011,8071,28,1,2015,2,5,7.983184965380811
B02512,2015-01-28,235,1438,28,1,2015,2,5,6.1191489361702125
B02617,2015-01-29,1474,12600,29,1,2015,3,5,8.548168249660787
B02764,2015-01-29,3959,31637,29,1,2015,3,5,7.991159383682748
B02682,2015-01-29,1316,11485,29,1,2015,3,5,8.727203647416413
B02765,2015-01-29,295,2086,29,1,2015,3,5,7.071186440677966
B02512,2015-01-29,250,1687,29,1,2015,3,5,6.748
B02598,2015-01-29,1082,9499,29,1,2015,3,5,8.779112754158964
B02512,2015-01-30,256,2016,30,1,2015,4,5,7.875
B02617,2015-01-30,1501,14793,30,1,2015,4,5,9.855429713524318
B02682,2015-01-30,1384,13852,30,1,2015,4,5,10.008670520231213
B02764,2015-01-30,4124,39110,30,1,2015,4,5,9.483511154219205
B02765,2015-01-30,322,2785,30,1,2015,4,5,8.649068322981366
B02598,2015-01-30,1106,11167,30,1,2015,4,5,10.096745027124774
B02765,2015-01-31,309,3282,31,1,2015,5,5,10.62135922330097
B02512,2015-01-31,225,1892,31,1,2015,5,5,8.408888888888889
B02617,2015-01-31,1394,15756,31,1,2015,5,5,11.302725968436155
B02682,2015-01-31,1321,15388,31,1,2015,5,5,11.64875094625284
B02764,2015-01-31,3947,44297,31,1,2015,5,5,11.222954142386623
B02598,2015-01-31,1027,11642,31,1,2015,5,5,11.335929892891919
B02598,2015-02-01,961,9499,1,2,2015,6,5,9.884495317377732
B02682,2015-02-01,1214,12436,1,2,2015,6,5,10.243822075782537
B02512,2015-02-01,193,1377,1,2,2015,6,5,7.134715025906735
B02765,2015-02-01,289,2672,1,2,2015,6,5,9.245674740484429
B02617,2015-02-01,1355,13458,1,2,2015,6,5,9.93210332103321
B02764,2015-02-01,3740,37468,1,2,2015,6,5,10.018181818181818
B02617,2015-02-02,1217,12216,2,2,2015,0,6,10.037797863599014
B02682,2015-02-02,1152,11981,2,2,2015,0,6,10.40017361111111
B02765,2015-02-02,275,2607,2,2,2015,0,6,9.48
B02598,2015-02-02,939,9511,2,2,2015,0,6,10.128860489882854
B02764,2015-02-02,3270,30761,2,2,2015,0,6,9.40703363914373
B02512,2015-02-02,227,1904,2,2,2015,0,6,8.387665198237885
B02765,2015-02-03,299,2410,3,2,2015,1,6,8.060200668896321
B02598,2015-02-03,991,9602,3,2,2015,1,6,9.68920282542886
B02512,2015-02-03,257,1915,3,2,2015,1,6,7.45136186770428
B02764,2015-02-03,3674,31641,3,2,2015,1,6,8.61213935764834
B02617,2015-02-03,1350,12665,3,2,2015,1,6,9.381481481481481
B02682,2015-02-03,1269,11955,3,2,2015,1,6,9.42080378250591
B02764,2015-02-04,3856,29994,4,2,2015,2,6,7.778526970954357
B02765,2015-02-04,309,2334,4,2,2015,2,6,7.553398058252427
B02512,2015-02-04,244,1639,4,2,2015,2,6,6.717213114754099
B02682,2015-02-04,1311,11309,4,2,2015,2,6,8.626239511823035
B02617,2015-02-04,1393,11959,4,2,2015,2,6,8.585068198133525
B02598,2015-02-04,1072,9600,4,2,2015,2,6,8.955223880597014
B02617,2015-02-05,1524,14499,5,2,2015,3,6,9.513779527559056
B02682,2015-02-05,1418,13782,5,2,2015,3,6,9.719322990126939
B02598,2015-02-05,1179,11609,5,2,2015,3,6,9.846480067854113
B02512,2015-02-05,264,2022,5,2,2015,3,6,7.659090909090909
B02765,2015-02-05,355,3011,5,2,2015,3,6,8.481690140845071
B02764,2015-02-05,4093,35990,5,2,2015,3,6,8.793061324212069
B02617,2015-02-06,1526,15417,6,2,2015,4,6,10.102883355176933
B02765,2015-02-06,385,3569,6,2,2015,4,6,9.27012987012987
B02598,2015-02-06,1181,11897,6,2,2015,4,6,10.073666384419983
B02512,2015-02-06,261,1989,6,2,2015,4,6,7.620689655172414
B02764,2015-02-06,4170,38693,6,2,2015,4,6,9.278896882494005
B02682,2015-02-06,1414,14375,6,2,2015,4,6,10.166195190947667
B02598,2015-02-07,1031,10512,7,2,2015,5,6,10.19592628516004
B02512,2015-02-07,211,1504,7,2,2015,5,6,7.127962085308057
B02617,2015-02-07,1383,13688,7,2,2015,5,6,9.897324656543745
B02682,2015-02-07,1300,13450,7,2,2015,5,6,10.346153846153847
B02764,2015-02-07,3849,38530,7,2,2015,5,6,10.010392309690829
B02765,2015-02-07,345,3473,7,2,2015,5,6,10.066666666666666
B02764,2015-02-08,3422,29692,8,2,2015,6,6,8.676797194623028
B02765,2015-02-08,313,2623,8,2,2015,6,6,8.380191693290735
B02598,2015-02-08,923,8129,8,2,2015,6,6,8.807150595882991
B02617,2015-02-08,1256,11004,8,2,2015,6,6,8.761146496815286
B02682,2015-02-08,1136,10356,8,2,2015,6,6,9.116197183098592
B02512,2015-02-08,176,1196,8,2,2015,6,6,6.795454545454546
